file,host_in_file,n_obs,t_baseline_days,telescope,reference,pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
UID_0003479_RVC_001.tbl,HD 4208,41,3237.1162849999964,10m Keck I,"Butler et al. 2006 (ApJ, 646, 505)",HD 4208 b,HD 4208,HD 4208,HIP 3479,TIC 43400838,11.1125532,-26.5150392,34.1937,832.97,2.15,-1.89,1.662,0.015,-0.015,0.042,0.039,-0.029,,,,217.634,57.556,-67.497,2456505.5,127.3,-491.3,,,,0.81,0.014,-0.015,0.81,0.014,-0.015,19.03,0.85,-0.79,0.883,0.024,-0.024,0.846,0.028,-0.028,5717.0,33.0,-33.0,Radial Velocity,2001.0,1.0
UID_0003479_RVC_002.tbl,HD 4208,35,1821.0156000000425,10m Keck I,"Vogt et al. 2002 (ApJ, 568, 352)",HD 4208 b,HD 4208,HD 4208,HIP 3479,TIC 43400838,11.1125532,-26.5150392,34.1937,832.97,2.15,-1.89,1.662,0.015,-0.015,0.042,0.039,-0.029,,,,217.634,57.556,-67.497,2456505.5,127.3,-491.3,,,,0.81,0.014,-0.015,0.81,0.014,-0.015,19.03,0.85,-0.79,0.883,0.024,-0.024,0.846,0.028,-0.028,5717.0,33.0,-33.0,Radial Velocity,2001.0,1.0
UID_0003497_RVC_001.tbl,HD 4308,72,766.8777200002223,3.9m Anglo-Australian Telescope (AAT),"O'Toole et al. 2009 (ApJ, 701, 1732)",HD 4308 b,HD 4308,HD 4308,HIP 3497,TIC 234501204,11.1652594,-65.6527159,22.0158,15.56,0.02,-0.02,0.12,0.0,0.0,0.0,,,,,,,,,,,,,,,0.05,0.0,0.0,0.05,0.0,0.0,4.1,0.2,-0.2,0.93,0.1,-0.1,1.02,0.01,-0.01,5686.0,16.0,-16.0,Radial Velocity,2005.0,1.0
UID_0003497_RVC_002.tbl,HD 4308,41,680.0663300002925,3.6m,"Udry et al. 2006 (A&A, 447, 361)",HD 4308 b,HD 4308,HD 4308,HIP 3497,TIC 234501204,11.1652594,-65.6527159,22.0158,15.56,0.02,-0.02,0.12,0.0,0.0,0.0,,,,,,,,,,,,,,,0.05,0.0,0.0,0.05,0.0,0.0,4.1,0.2,-0.2,0.93,0.1,-0.1,1.02,0.01,-0.01,5686.0,16.0,-16.0,Radial Velocity,2005.0,1.0
UID_0003502_RVC_001.tbl,HD 4203,23,1995.6920260000043,10m Keck I,"Butler et al. 2006 (ApJ, 646, 505)",HD 4203 b,HD 4203,HD 4203,HIP 3502,TIC 434225151,11.1722288,20.4483925,81.3795,431.88,0.85,-0.85,1.17,0.02,-0.02,0.52,0.03,-0.03,,,,,,,,,,,,,2.23,0.21,-0.21,2.23,0.21,-0.21,60.3,2.2,-2.2,1.25,0.16,-0.16,1.42,0.05,-0.05,5596.0,20.0,-20.0,Radial Velocity,2001.0,1.0
UID_0003502_RVC_001.tbl,HD 4203,23,1995.6920260000043,10m Keck I,"Butler et al. 2006 (ApJ, 646, 505)",HD 4203 c,HD 4203,HD 4203,HIP 3502,TIC 434225151,11.1722288,20.4483925,81.3795,6700.0,4500.0,-4500.0,6.95,1.93,-0.56,0.24,0.13,-0.13,,,,224.0,48.8,-48.8,2456000.0,9600.0,-9600.0,,,,2.17,0.52,-0.52,2.17,0.52,-0.52,22.2,3.707,-3.707,0.99,0.116237,-0.132736,1.49795,0.063776,-0.076626,5582.0,133.18,-87.0,Radial Velocity,2014.0,1.0
UID_0003502_RVC_002.tbl,HD 4203,14,430.839999999851,10m Keck I,"Vogt et al. 2002 (ApJ, 568, 352)",HD 4203 b,HD 4203,HD 4203,HIP 3502,TIC 434225151,11.1722288,20.4483925,81.3795,431.88,0.85,-0.85,1.17,0.02,-0.02,0.52,0.03,-0.03,,,,,,,,,,,,,2.23,0.21,-0.21,2.23,0.21,-0.21,60.3,2.2,-2.2,1.25,0.16,-0.16,1.42,0.05,-0.05,5596.0,20.0,-20.0,Radial Velocity,2001.0,1.0
UID_0003502_RVC_002.tbl,HD 4203,14,430.839999999851,10m Keck I,"Vogt et al. 2002 (ApJ, 568, 352)",HD 4203 c,HD 4203,HD 4203,HIP 3502,TIC 434225151,11.1722288,20.4483925,81.3795,6700.0,4500.0,-4500.0,6.95,1.93,-0.56,0.24,0.13,-0.13,,,,224.0,48.8,-48.8,2456000.0,9600.0,-9600.0,,,,2.17,0.52,-0.52,2.17,0.52,-0.52,22.2,3.707,-3.707,0.99,0.116237,-0.132736,1.49795,0.063776,-0.076626,5582.0,133.18,-87.0,Radial Velocity,2014.0,1.0
UID_0003574_RVC_001.tbl,HD 4313,28,910.780999999959,10m Keck I,"Johnson et al. 2010 (PASP, 122, 701)",HD 4313 b,HD 4313,HD 4313,HIP 3574,TIC 405228516,11.4181301,7.8450492,136.308,356.21,0.88,-0.88,1.157,0.097,-0.097,0.147,0.047,-0.047,,,,102.0,13.0,-13.0,2454816.0,12.0,-12.0,,,,1.927,0.09,-0.09,1.927,0.09,-0.09,40.3,1.7,-1.7,1.63,,,5.14,,,4943.0,,,Radial Velocity,2009.0,1.0
UID_0003765_RVC_001.tbl,HD 4628,89,2946.008630000055,10m Keck I,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0003765_RVC_002.tbl,HD 4628,37,5044.226340000052,3.0m Shane,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0003765_RVC_003.tbl,HD 4628,15,2575.9330000001937,3.0m Shane,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0003821_RVC_001.tbl,HD 4614,48,3563.2391900001094,10m Keck I,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0003821_RVC_002.tbl,HD 4614,21,3422.7347500002943,3.0m Shane,"Howard & Fulton, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UID_0003834_RVC_001.tbl,HD 4732,48,2688.629539999645,1.88m OAO,"Sato et al. 2013 (2013, ApJ, 762, 9)",HD 4732 b,HD 4732,HD 4732,HIP 3834,TIC 63905972,12.3085089,-24.1369079,54.7841,371.74,0.72,-1.86,1.129,0.001,-0.004,0.266,0.081,-0.068,,,,62.62,9.68,-11.1,2455660.0,12.8,-14.5,,,,1.986,0.156,-0.154,1.986,0.156,-0.154,46.8,4.78,-4.07,1.39,0.15,-0.17,5.03,0.12,-0.13,4898.0,,,Radial Velocity,2012.0,1.0
