file,host,n_obs,n_planets,median_sigma_ms,rms_catalog_init,rms_random_best,rms_random_median,rms_random_worst,tperi_shifts_d,trend_coefs
UID_0065721_RVC_004.tbl,HD 117176,98,1,2.30499995,8.208049312409821,8.208049308052857,8.208049309595125,123.37134852212735,-0.0616,"-0.00259575,1.11595e-06"
UID_0065721_RVC_005.tbl,HD 117176,21,1,9.9499998,8.702109891531473,8.70210063300793,8.702112152299284,115.14768712110973,-0.1791,"0.00366726,2.8301e-06"
UID_0065808_RVC_001.tbl,HD 117207,43,1,3.0,4.058333855817281,4.058333169100128,4.058334318958656,4.05833526814008,+25.8877,"-0.00198365,-2.07572e-06"
UID_0065808_RVC_002.tbl,HD 117207,35,1,3.0,4.69995977734748,4.699959776933028,5.323914265054562,5.323924924753763,-6.6641,"0.00241368,2.30666e-06"
UID_0066047_RVC_001.tbl,HD 117618,57,1,3.8,5.897786816979681,5.897520438430726,5.897931599858267,5.897965404234546,-8.1096,"-0.000236726,-1.42582e-06"
UID_0066047_RVC_002.tbl,HD 117618,47,1,4.1,4.831060099434184,4.831077814709101,4.8314066352376415,4.831494955626227,-8.6867,"-0.000122645,-1.32937e-06"
UID_0066192_RVC_001.tbl,HD 118203,43,1,13.0,19.89731896260082,19.896717535690435,19.897318316185814,84.50604387595455,-0.0054,"0.149428,0.000303156"
UID_0066903_RVC_001.tbl,HD 120084,33,1,4.0,7.301691097876251,7.301690567790253,7.301690902347263,7.301700837803679,+1.0344,"0.00196956,-2.28813e-06"
UID_0067275_RVC_001.tbl,Tau Boo,98,1,18.5,62.79522805282662,62.79069365723009,62.797494383838576,62.80110340257939,+1.6553,"-0.0503911,8.70427e-07"
UID_0067275_RVC_002.tbl,HD 120136,99,1,7.04,29.186276202285864,29.18586368998336,29.186274708827266,29.18627953475278,+0.0047,"-0.0362146,-9.44263e-06"
UID_0067275_RVC_003.tbl,HD 120136,24,1,30.79625035,89.46938180973393,89.43418061256257,89.4377220304481,89.44997334042854,+1.6558,"-0.00275094,-5.75176e-05"
UID_0068162_RVC_001.tbl,HD 121504,100,1,6.0,12.005273983985997,12.005274207436573,12.005309101049422,12.005327477475829,+10.0803,"0.00972992,-1.11735e-05"
UID_0070123_RVC_001.tbl,HD 125612,19,3,2.11,4.408975593165383,4.422336490201006,4.437483612205,4.440534178461287,"-1.7542,-0.4399,-128.1740","-0.0519437,7.43032e-06"
UID_0070890_RVC_001.tbl,Proxima Cen,144,2,0.9648568038221341,2.064530476871087,2.064530943276367,2.064546903364885,2.064549863325657,"+0.1914,-0.1304","-0.000319814,-2.9626e-08"
UID_0070890_RVC_002.tbl,Proxima Cen,70,2,0.7789214760134315,1.8190661388437148,1.8190351073636228,1.8190671664335518,1.8190769686643182,"+5.4044,-1.6071","0.000472461,9.26891e-07"
UID_0071395_RVC_001.tbl,HD 128311,30,2,3.8,15.84520631715346,15.845184886857501,15.84520469236786,15.845209235419347,"-3.7772,-3.3549","-0.00349126,-1.61133e-05"
UID_0071395_RVC_002.tbl,HD 128311,76,2,3.1,16.27666855275572,16.276653184629584,16.27666751045393,16.276671550565048,"+2.7677,+5.6200","0.00361539,6.75687e-06"
UID_0071395_RVC_003.tbl,HD 128311,78,2,4.5,16.3401389069053,16.340121019946757,16.340133384429425,26.73121005982975,"-7.4948,-454.3777","0.0285018,-8.13328e-05"
UID_0072203_RVC_001.tbl,HD 129445,17,1,4.3,5.32798366687942,5.327983254216917,14.65345097624714,24.269219815289702,-0.3422,"0.00212132,-2.23383e-06"
UID_0072339_RVC_001.tbl,HD 130322,12,1,2.75,7.459540687043888,7.459533073730525,7.459542640720543,7.459629535470286,-0.0305,"-0.0071213,1.23995e-05"
UID_0072339_RVC_002.tbl,HD 130322,118,1,11.0,14.24103179283519,14.241264202378067,14.241963400021485,14.241970791394154,+0.0342,"0.116087,0.00579889"
UID_0072339_RVC_003.tbl,HD 130322,30,1,6.25,6.482371506328701,6.481072638079676,6.482223819437767,6.48287299114799,-0.0107,"-0.0232063,-7.59417e-06"
UID_0072339_RVC_004.tbl,HD 130322,5,1,8.1,0.5859895225536202,0.5854535933574504,0.5859940759214903,0.5859941378771308,-0.4253,"-0.0504701,0.000117396"
UID_0074500_RVC_001.tbl,HD 134987,11,2,5.0,11.187828838097005,11.187886698630365,11.187904987581247,11.188228105368019,"+0.7432,+172.9577","0.0296192,6.13071e-05"
UID_0074500_RVC_002.tbl,HD 134987,34,2,3.05,10.626712516052066,10.626670156106863,10.626709508369224,10.626714942930967,"-113.0049,+877.2216","0.00209719,-1.26872e-05"
UID_0074500_RVC_003.tbl,HD 134987,56,2,2.5,9.828711602845496,9.828782913621998,9.828908142175406,9.82899339013538,"-105.5433,+206.7356","0.00148105,1.18418e-06"
UID_0074500_RVC_004.tbl,HD 134987,63,2,1.3,9.360110843028306,9.360107172035748,9.360110555410877,9.360111360748714,"-117.0331,+1720.3634","-0.00656406,-8.53081e-06"
UID_0074500_RVC_005.tbl,HD 134987,75,2,1.2,10.39911287454901,10.358176356748917,10.399112729662598,10.399125398867296,"-108.0466,+139.9274","-0.000306664,-1.42369e-06"
UID_0074500_RVC_006.tbl,HD 134987,43,2,2.7,9.117981997617617,9.117910298908066,9.117939313303124,9.143783896731355,"-105.0510,-653.1789","0.0171126,2.88604e-05"
UID_0074793_RVC_001.tbl,11 UMi,58,1,5.234999999999999,26.83365037572,26.8336497875689,26.83365567577063,26.833660193399265,-254.7678,"-0.0066126,1.88095e-05"
UID_0074948_RVC_001.tbl,HD 136118,37,1,14.0,20.253843345451635,20.25384337880012,20.253843418108044,20.253843569630664,+1.3905,"-0.00177507,-1.59909e-05"
UID_0074948_RVC_002.tbl,HD 136118,33,1,14.83,85.15646289971143,20.1319968772269,20.13201920448129,66.0532022782675,+43.5283,"0.0854514,-0.00052151"
UID_0074948_RVC_003.tbl,HD 136118,63,1,6.1,7.89875498864578,7.898708929737234,7.898760437894622,43.06055458537983,+4.9927,"0.0174779,-4.84887e-05"
UID_0074948_RVC_004.tbl,HD 136118,64,1,9.0,14.705344612071464,14.705342021246627,18.362656173567764,28.945880763587304,+6.4357,"0.0219054,-7.01315e-05"
UID_0074948_RVC_005.tbl,HD 136118,4,1,10.7,1.5162730822109602,2.576921918602935e-10,1.0598732701833951e-09,1.516273949635311,-166.6519,"-0.784564,-0.00313402"
UID_0074961_RVC_001.tbl,HD 136418,24,1,1.32,9.004946211077417,9.004943437436,9.004951996969352,9.004959426660843,+98.4332,"0.0159227,4.67708e-05"
UID_0074995_RVC_001.tbl,Gl 581,20,3,1.2,1.386618400422107,1.386080470172265,1.3862397666648882,1.3867873154222448,"+1.5639,-2.6382,-0.3686","-0.00410061,-2.41259e-05"
UID_0074995_RVC_002.tbl,GJ 581,119,3,1.1,2.248111548672188,2.2474550485252163,2.24776777921299,2.249117610905871,"+1.6079,-1.4941,-1.3436","0.000682821,-3.37227e-06"
UID_0074995_RVC_003.tbl,Gl 581,50,3,0.9,1.8643126613527101,1.8635760446699083,1.863862049625272,1.8649871124472523,"+1.5772,-1.3693,+0.1715","0.00527737,-8.80103e-07"
UID_0075049_RVC_001.tbl,omicron CrB,85,1,4.3,16.882680860545044,16.882678698265625,16.88268070338365,16.882681928034906,+1.2846,"0.00032736,5.45563e-07"
UID_0075181_RVC_001.tbl,HD 136352,23,3,0.894334,2.5169558713696625,2.5161073637679965,2.518603016932429,2.5217846219138065,"-3.6212,-6.9428,+45.4954","-0.00249417,8.23823e-07"
UID_0075458_RVC_001.tbl,Iota Draconis,119,2,4.3,16.067445414388203,16.07777887403249,162.31345821727118,164.53208380833033,"+0.0321,+1911.3862","-0.0100431,2.4534e-05"
UID_0075458_RVC_002.tbl,Iota Draconis,56,2,4.65,15.995234062323448,16.004259159932005,114.1739287871925,114.17447321691454,"-0.3838,+851.4376","-0.101422,4.11118e-05"
UID_0076311_RVC_001.tbl,HD 139357,49,1,7.41,13.689590923897477,13.68959021733183,13.689590322645408,13.689590454507213,+4.3673,"0.0014381,-3.12843e-05"
UID_0077257_RVC_001.tbl,HD 141004,81,1,0.7545189,5.596130254282672,5.596238390066972,5.596252116155389,5.596847107100244,-0.6919,"0.000436243,4.35498e-07"
UID_0077257_RVC_002.tbl,HD 141004,8,1,1.31737665,1.91740700305302,1.9067168402792964,1.9067566849306805,2.010907559967671,-0.8044,"1.13719,-0.494101"
UID_0077257_RVC_003.tbl,HD 141004,149,1,2.27,8.78696407774594,8.786659849505227,8.786942794132985,8.786999385999918,-0.5464,"-0.00420159,9.67513e-07"
UID_0077257_RVC_004.tbl,HD 141004,16,1,8.241447950000001,11.78116491791885,11.73935690533725,11.742462707300831,11.790875023675564,-6.6654,"-0.00984566,2.11504e-06"
UID_0077517_RVC_001.tbl,HD 330075,21,1,1.8,3.1365619461711147,3.136389357388916,3.1364178038134063,3.136502739773169,+0.5305,"0.0599646,-0.00110403"
UID_0077578_RVC_001.tbl,omega Ser,123,1,3.8,24.744691584415772,24.744685205062595,24.744756987891186,24.744760786663747,+13.0098,"-0.00273858,-6.07647e-07"
UID_0077655_RVC_001.tbl,Kappa CrB,48,1,3.715,5.713338619267239,5.713337972652999,5.713338250564717,5.7133387716431825,-4.6074,"0.000292564,-4.89815e-06"
UID_0077740_RVC_001.tbl,HD 141937,81,1,6.0,48.74352278651763,48.743513191584405,48.743629649134,72.80627074885493,+99.5623,"0.00147211,-0.000557317"
UID_0078159_RVC_001.tbl,epsilon CrB,52,1,7.45,22.41585640245123,22.41585638949972,22.415856397521917,22.415856400390428,-3.1591,"0.0126902,-1.04375e-06"
UID_0078169_RVC_001.tbl,HD 142415,137,1,6.0,11.74759129935855,11.74759159452233,17.774500938188705,17.774502155732744,+67.9926,"-0.0107443,-5.98587e-06"
UID_0078459_RVC_001.tbl,Rho CrB,26,3,5.5,6.1494062929959545,6.15063358284316,6.15309315157648,6.165660734163185,"+1.6992,+48.9217,-2.9184","-0.000600617,2.37307e-06"
UID_0078521_RVC_001.tbl,HD 143361,6,1,2.2300000000000004,0.969733821075742,0.818192150077659,0.8181994946183011,1.0839012961899939,-102.1359,"-0.120946,-0.000731978"
UID_0078521_RVC_002.tbl,HD 143361,12,1,2.95,3.5159962780197853,3.515996291332838,3.5160384605891384,18.410884229141185,+54.7615,"0.0146777,1.12021e-05"
UID_0079219_RVC_001.tbl,HD 145457,23,1,6.2,10.366186445291913,10.366099560863232,10.366126786474565,10.366130926959077,+1.0076,"-0.0165733,-2.10163e-05"
UID_0079219_RVC_002.tbl,HD 145457,3,1,5.4,1.8953652499265112,1.8953652499265112,1.8953652499265112,1.8953652499265112,+0.0000,"0,0"
UID_0079242_RVC_001.tbl,HD 142022A,70,1,8.0,17.7147302014514,12.68129034670344,18.24708702863951,37.52720602686824,+93.1635,"-0.0481814,5.0665e-05"
UID_0079242_RVC_002.tbl,HD 142022A,6,1,1.0,1.2547357870467934,0.8199651364655642,1.148324919563945,1.2565629850752744,+623.6866,"0.238118,-6.32643e-05"
UID_0079346_RVC_001.tbl,HD 145377,64,1,2.17,49.64510886737804,49.65944781142622,49.69426349329898,49.700830697781875,-50.3354,"-0.0196365,-7.74879e-05"
UID_0079431_RVC_001.tbl,HIP 79431,13,1,2.97,3.5330142777889657,3.533001136873008,3.533006167619312,52.08088046098385,-0.3425,"-0.0268639,-0.00038039"
UID_0080076_RVC_001.tbl,HD 147506,53,2,600.0,596.4800755802903,596.0740727590584,596.2933350836773,596.360103985637,"-0.6375,+44.8987","0.341032,0.00867129"
UID_0080076_RVC_002.tbl,HD 147506,13,2,6.1,220.8739737834024,42.68618218428308,42.75502978003131,313.54336296269594,"+0.1149,-1104.5638","-2.06591,-0.0271917"
UID_0080076_RVC_003.tbl,HD 147506,10,2,43.25,82.31867576903227,80.17408278918492,80.61752886420791,80.75051314612557,"-0.4630,+869.3511","7.38878,1.07103"
UID_0080076_RVC_004.tbl,HD 147506,63,2,12.7,52.208497236745984,52.18880258866544,194.23997065712985,206.66329013033015,"-0.5162,+3127.1640","1.27427,0.0788337"
UID_0080076_RVC_005.tbl,HAT-P-2,14,2,6.9,30.49907861600026,29.782464659473842,383.73777949647933,491.30852765202445,"-0.5010,+347.2702","-0.0668092,0.00101689"
UID_0080337_RVC_001.tbl,HD 147513,30,1,4.0,6.80735352526347,6.807353972673638,6.807355043377233,6.8073851234068945,+1.8506,"0.00288369,6.46265e-06"
UID_0080838_RVC_001.tbl,HD 149026,16,1,2.6,3.9678492772707057,3.9678505909096122,3.967977597856578,3.9681652122121553,+1.1704,"-0.131398,-0.00102053"
UID_0080838_RVC_002.tbl,HD 149026,7,1,2.29,3.4660433947367673,3.4472894506554526,3.4657349917720386,30.81716862170187,-0.2961,"-0.0194696,-0.00511692"
UID_0080838_RVC_003.tbl,HD 149026,4,1,3.1799999999999997,1.961209240209251,1.9419812734493755,1.9445883719820996,1.9478776297779075,+1.1095,"-3.88267,0.234513"
UID_0081022_RVC_001.tbl,HD 149143,8,1,11.0,18.98180352900601,18.979108586351277,18.982092077710007,18.98434908743591,-1.6514,"-0.217376,0.0304461"
UID_0081022_RVC_002.tbl,HD 149143,17,1,3.76,2.3823589033084662,2.3810058964597838,2.381110662625119,2.381324539110345,+0.3908,"-0.0495131,-0.000463245"
