pl_name,hostname,hd_name,hip_name,tic_id,ra,dec,sy_dist,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,discoverymethod,disc_year,default_flag
WASP-142 b,WASP-142,,,TIC 423275733,140.5063164,-23.946102,730.933,2.052868,2e-06,-2e-06,0.0347,0.0007,-0.0007,0.0,,,80.2,0.6,-0.6,,,,,,,2457007.7779,0.0004,-0.0004,0.84,0.09,-0.09,,,,109.0,10.0,-10.0,1.33,0.08,-0.08,1.64,0.08,-0.08,6010.0,140.0,-140.0,Transit,2016.0,1
HATS-31 b,HATS-31,,,TIC 9385460,191.7028214,-24.4273897,773.974,3.37796,1.2e-05,-1.2e-05,0.0478,0.0012,-0.0012,0.233,,,85.0,2.5,-1.6,,,,,,,2456960.1476,0.0011,-0.0011,0.88,0.12,-0.12,,,,102.0,13.0,-13.0,1.275,0.096,-0.096,1.87,0.18,-0.18,6050.0,120.0,-120.0,Transit,2016.0,1
HATS-32 b,HATS-32,,,TIC 204317710,346.0750861,-21.2720168,745.116,2.8126548,5.5e-06,-5.5e-06,0.04024,0.00053,-0.00053,0.471,,,87.1,1.2,-1.2,,,,,,,2456454.6252,0.0011,-0.0011,0.92,0.1,-0.1,,,,124.0,14.0,-14.0,1.099,0.044,-0.044,1.097,0.098,-0.063,5700.0,110.0,-110.0,Transit,2016.0,1
HATS-33 b,HATS-33,,,TIC 360742636,294.6336944,-55.3302692,248.46,2.5495551,6.1e-06,-6.1e-06,0.03727,0.00037,-0.00037,0.08,,,87.62,0.92,-0.92,,,,,,,2456497.23181,0.0005,-0.0005,1.192,0.053,-0.053,,,,170.1,6.8,-6.8,1.062,0.032,-0.032,1.022,0.05,-0.037,5659.0,85.0,-85.0,Transit,2016.0,1
HATS-34 b,HATS-34,,,TIC 355703913,0.7744866,-62.4693167,508.842,2.1061607,4.7e-06,-4.7e-06,0.03166,0.00034,-0.00034,0.108,,,82.28,0.43,-0.59,,,,,,,2456634.85732,0.00075,-0.00075,0.941,0.072,-0.072,,,,152.0,11.0,-11.0,0.955,0.031,-0.031,0.98,0.047,-0.047,5380.0,73.0,-73.0,Transit,2016.0,1
Kepler-418 b,Kepler-418,,,TIC 377871791,294.4335228,38.3554729,1002.53,86.67856,7e-05,-7e-05,,,,0.2,0.11,-0.11,89.952,0.041,-0.041,4.35,0.41,-0.41,,,,2455008.5975,0.00066,-0.00066,1.1,,,,,,50.0,,,0.98,0.08,-0.08,1.09,0.14,-0.14,5820.0,100.0,-100.0,Transit,2014.0,1
HATS-35 b,HATS-35,,,TIC 339522221,296.688442,-63.5656488,514.555,1.8209993,1.6e-06,-1.6e-06,0.03199,0.00033,-0.00033,0.306,,,86.9,1.3,-1.3,,,,,,,2456981.80199,0.00041,-0.00041,1.222,0.078,-0.078,,,,170.0,10.0,-10.0,1.317,0.04,-0.04,1.433,0.056,-0.038,6300.0,100.0,-100.0,Transit,2016.0,1
HD 86950 b,HD 86950,HD 86950,HIP 49129,TIC 332711151,150.4066612,-17.3330699,209.839,1270.0,57.0,-57.0,2.72,0.08,-0.08,0.17,0.16,-0.16,,,,243.0,70.0,-70.0,2454245.0,161.0,-161.0,,,,3.6,0.7,-0.7,3.6,0.7,-0.7,49.0,12.0,-12.0,1.66,0.25,-0.25,8.8,0.6,-0.6,4805.0,100.0,-100.0,Radial Velocity,2016.0,1
HD 222076 b,HD 222076,HD 222076,HIP 116630,TIC 325178933,354.531982,-70.9032461,91.1538,871.0,19.0,-19.0,1.83,0.03,-0.03,0.08,0.05,-0.05,,,,241.0,60.0,-60.0,2454264.0,189.0,-189.0,,,,1.56,0.11,-0.11,1.56,0.11,-0.11,31.9,2.3,-2.3,1.07,0.25,-0.25,4.1,0.6,-0.6,4806.0,100.0,-100.0,Radial Velocity,2016.0,1
WASP-127 b,WASP-127,,,TIC 169226822,160.5587646,-3.8349989,159.507,4.17806203,8.8e-07,-5.3e-07,0.0484,0.00136,-0.00095,0.0,,,87.84,0.36,-0.33,,,,,,,2456776.62124,0.00023,-0.00028,0.1647,0.0214,-0.0172,,,,22.0,3.0,-2.0,0.95,0.02,-0.02,1.333,0.027,-0.027,,,,Transit,2016.0,1
WASP-136 b,WASP-136,,,TIC 176220787,0.325761,-8.9262512,275.587,,,,,,,,,,87.7,1.2,-1.2,,,,,,,2456776.9055,0.0011,-0.0011,,,,,,,,,,,,,,,,,,,Transit,2016.0,1
WASP-138 b,WASP-138,,,TIC 35857242,41.6391598,-0.4641252,414.234,3.634433,5e-06,-5e-06,0.0494,0.0007,-0.0007,,,,88.5,0.9,-1.2,,,,,,,2457326.62183,0.000319,-0.000319,1.22,0.08,-0.08,,,,,,,1.22,0.05,-0.05,1.36,0.05,-0.05,6272.0,96.0,-96.0,Transit,2016.0,1
K2-101 b,K2-101,,,TIC 175265494,130.3439097,18.9338205,188.33,14.6762429,2.01e-05,-2.03e-05,0.1124,0.0095,-0.0239,,,,,,,,,,,,,2457152.6849877,0.0011205,-0.0011677,,,,,,,,,,0.82,0.02,-0.03,0.76,0.01,-0.01,4927.0,47.0,-46.0,Transit,2016.0,1
K2-102 b,K2-102,,,TIC 175262071,130.0558953,19.7787519,188.175,9.915615,0.001209,-0.001195,,,,0.1,0.16,-0.07,89.0,0.6,-0.6,-1.0,136.0,-132.0,,,,2457139.65518,0.00552,-0.00552,,,,,,,,,,0.77,0.06,-0.06,0.71,0.03,-0.03,4695.0,50.0,-50.0,Transit,2016.0,1
EPIC 211822797 b,EPIC 211822797,,,TIC 337632006,130.4102091,17.6399744,186.197,21.1701963,6.62e-05,-6.42e-05,0.1195,0.01,-0.0251,,,,,,,,,,,,,2457144.4052567,0.0022025,-0.002253,,,,,,,,,,0.62,0.02,-0.02,0.58,0.01,-0.01,4057.0,37.0,-39.0,Transit,2016.0,1
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,,,,268.1020833,-30.5483889,2670.0,,,,4.53,1.49,-2.5,,,,,,,,,,,,,,,,3.68,0.69,-1.44,,,,,,,0.73,0.14,-0.29,,,,,,,Microlensing,2016.0,1
XO-6 b,XO-6,,,TIC 138168780,94.7929552,73.8275672,235.479,3.7650007,8.1e-06,-8.1e-06,0.0815,0.0077,-0.0077,0.0,,,86.0,0.2,-0.2,,,,,,,2456652.71245,0.00055,-0.00055,4.4,,,,,,450.0,,,1.47,0.06,-0.06,1.93,0.18,-0.18,6720.0,100.0,-100.0,Transit,2016.0,1
