host,file,n_obs,best_kernel,logL,BIC,AIC,n_params,convergence_gap,ks_statistic,ks_pvalue,lb_statistic,lb_pvalue,lb_df,whitened_std,whitened_kurt_excess,n,p_log_sigma,p_log_rho,p_log_Q,p_log_jitter,p_log_period,p_log_Q0,p_log_dQ,p_logit_f,p_sho.log_sigma,p_sho.log_rho,p_sho.log_Q,p_matern32.log_sigma,p_matern32.log_rho
GJ 649,UID_0083043_RVC_001.tbl,43,sho,-124.93182795538421,264.90845637354266,257.86365591076844,4,22.430525382127158,0.12145168529957201,0.5112024717616948,4.6367086138406375,0.7956051465528668,8,0.968825171819978,-0.3969952388264497,43,0.9528302081973111,4.065946328632511,6.907755278982137,1.1971808431159603,,,,,,,,,
HD 155358,UID_0083949_RVC_002.tbl,122,sho+matern32,-391.1007202148505,811.0255666981006,794.201440429701,6,4.959934361448404,0.08039974657231574,0.38887364655159407,30.88757957553772,0.056692190308248014,20,1.0016270848770408,0.24429267627003082,122,,,,-0.2063078689541925,,,,,1.2128085025782345,4.571821048362011,6.907755278982137,1.1778027093171148,3.851339534864218
HD 154672,UID_0083983_RVC_002.tbl,16,sho,-48.199770732449,107.48989635385712,104.399541464898,4,2.49107792366582,0.1577628417683099,0.764855625439733,2.1864094995712025,0.534630234545838,3,0.9836015362390002,-0.2234318284668304,16,1.1658369960055812,4.747881296697334,6.907755278982137,1.258337596595844,,,,,,,,,
HD 154857,UID_0084069_RVC_001.tbl,18,sho,-55.729364679349146,123.02021639028295,119.45872935869829,4,1.1925026455209533,0.17974709679957424,0.5467366391584657,8.841755966137896,0.031470520806951674,3,1.0046483192219005,1.8516935418030451,18,1.5589950311686755,5.000335572644646,2.32865424888698,0.7456990766550851,,,,,,,,,
HD 156279,UID_0084171_RVC_001.tbl,15,matern32,-53.31277190929666,114.74969442189995,112.62554381859331,3,0.0003841848388503877,0.1324312389673965,0.9240403489396223,4.277055397406345,0.2330595198321852,3,0.9923813666788192,-0.289459927521762,15,-2.4784300037645575,3.368240211504766,,2.0073385507643353,,,,,,,,,
GJ 676 A,UID_0085647_RVC_001.tbl,75,matern32,-146.1785053436717,305.3094750279523,298.3570106873434,3,4.203820759127353,0.09914800085462872,0.4248553823257104,18.475340135273047,0.2385002629073134,15,0.9909931384616644,0.030069970758624276,75,0.1913554125103737,1.7949726347926027,,-0.17328017809910093,,,,,,,,,
HD 160691,UID_0086796_RVC_001.tbl,21,matern32,-51.48951428105805,112.11259587528637,108.9790285621161,3,6.407014814868717e-05,0.12980169351049403,0.8270893613498199,9.973170095553167,0.04088206146596496,4,0.7755366968766874,-0.4098066135713032,21,-3.5326932672604907,2.0927937798786598,,-7.719325623906683,,,,,,,,,
mu Ara,UID_0086796_RVC_002.tbl,108,matern32,-235.22574152686786,484.4978767351084,476.4514830537357,3,0.017079011715992465,0.056920227577131555,0.8553922972180117,20.218390730701206,0.44434500589825454,20,0.9475309591775966,0.19510694371327553,108,0.5672007826611254,1.4263580820758623,,-1.4118650227561425,,,,,,,,,
HD 160691,UID_0086796_RVC_003.tbl,38,sho,-102.33177405229416,219.2138927434939,212.66354810458833,4,2.817068972303602,0.15239554619478618,0.30849859949086156,11.196842314691992,0.13026034605376813,7,1.0136029642504698,0.8895577285437537,38,0.37280239170884655,5.899906461823286,6.907755278982137,-7.534868326878256,,,,,,,,,
HD 160691,UID_0086796_RVC_004.tbl,45,matern32,-108.09231545680129,227.60461838291354,222.18463091360258,3,0.000703472558058138,0.11937582020853435,0.5050402357669111,13.970319544203221,0.12338494331742567,9,0.9596875033993177,0.2572439989534052,45,-3.616921913991621,3.967813372804639,,-8.222092099979713,,,,,,,,,
mu Arae,UID_0086796_RVC_005.tbl,40,matern32,-121.46068800363047,253.98801436960275,248.92137600726093,3,4.643679446542507,0.05964197997704446,0.9972395151608479,11.941293077248833,0.15384252562509404,8,0.9936927214958392,0.10680433140037415,40,-2.955870179334947,3.325944481754174,,1.221934563341326,,,,,,,,,
mu Arae,UID_0086796_RVC_006.tbl,86,sho+matern32,-165.62930178638533,357.9846873502917,343.25860357277065,6,9.553009296124003,0.0826912456375185,0.5702825755965188,16.46713327831362,0.4909939925564639,17,0.9952858867558144,-0.9494667618948767,86,,,,0.02811862069194722,,,,,-0.2988914169117879,2.764970320406424,6.907755278982137,0.710456969735154,4.270995704056188
HD 163607,UID_0087601_RVC_001.tbl,53,matern32,-126.4737511489525,264.85837803856134,258.947502297905,3,1.8122638602900025,0.08934808780134587,0.7576757890210234,13.934290072319033,0.17600999747984347,10,1.0007940072564987,0.5099430487580014,53,0.47318219870259964,3.7770299737020094,,0.6616026507975835,,,,,,,,,
