index,file,host,n_obs,rms_over_sigma
520,UID_0101966_RVC_001.tbl,HD 196885,33,2.8272650377812694
521,UID_0101966_RVC_002.tbl,HD 196885,9,0.51768527168734
522,UID_0101966_RVC_003.tbl,HD 196885,69,1.8054707552925833
523,UID_0101966_RVC_004.tbl,HD 196885A,76,1.9564323321507113
524,UID_0103527_RVC_001.tbl,18 Del,51,2.234897749221797
525,UID_0104780_RVC_001.tbl,BD +14 4559,43,1.404841266130767
526,UID_0104903_RVC_001.tbl,HD 202206,95,41.05385072833766
527,UID_0106006_RVC_001.tbl,HD 204313,36,0.8839206664989057
528,UID_0106824_RVC_001.tbl,HD 205739,24,1.8186987281438451
529,UID_0107251_RVC_001.tbl,HD 206610,24,3.4596644347680865
530,UID_0107985_RVC_001.tbl,HD 207832,86,4.412893423587621
531,UID_0108296_RVC_001.tbl,HD 208527,24,8.893962160605536
532,UID_0108375_RVC_001.tbl,HD 208487,35,1.609173770295331
533,UID_0108375_RVC_002.tbl,HD 208487,31,1.4966821415190097
534,UID_0108859_RVC_001.tbl,HD 209458,64,1.3348579860096916
535,UID_0108859_RVC_002.tbl,HD 209458,85,3.612134899064995
536,UID_0108859_RVC_003.tbl,HD 209458,141,1.7076533688527438
537,UID_0108859_RVC_004.tbl,HD 209458,46,1.1796457589346638
538,UID_0108859_RVC_005.tbl,HD 209458,51,3.6706811657020677
539,UID_0109378_RVC_001.tbl,HD 210277,69,2.855305649782989
540,UID_0109378_RVC_002.tbl,HD 210277,34,1.5037303376227253
541,UID_0109378_RVC_003.tbl,HD 210277,42,0.8968946925551547
542,UID_0109378_RVC_004.tbl,HD 210277,45,2.383965836339446
543,UID_0109378_RVC_005.tbl,HD 210277,21,1.8351890076732882
544,UID_0109388_RVC_001.tbl,GJ 849,29,1.7937997370874839
545,UID_0109577_RVC_001.tbl,HD 210702,29,1.57120190841885
546,UID_0110813_RVC_001.tbl,HD 212771,20,3.9908063116720567
547,UID_0110852_RVC_001.tbl,HD 212301,23,2.4292658568763246
548,UID_0111143_RVC_001.tbl,HD 213240,30,7.041707456721687
549,UID_0111143_RVC_002.tbl,HD 213240,72,2.429419271615942
550,UID_0113020_RVC_001.tbl,GJ 876,113,7.141474487022846
551,UID_0113020_RVC_002.tbl,GJ 876,54,3.9651932735371123
552,UID_0113020_RVC_003.tbl,GJ 876,16,1.5394620688685514
553,UID_0113020_RVC_004.tbl,GJ 876,155,10.44841363404271
554,UID_0113044_RVC_001.tbl,Tau 1 Gruis,58,1.3652256249938515
555,UID_0113044_RVC_002.tbl,Tau 1 Gruis,44,1.2213227414011978
556,UID_0113238_RVC_001.tbl,HD 216770,16,1.5239872214688892
557,UID_0113357_RVC_001.tbl,51 Peg,256,1.0775545040906789
558,UID_0113357_RVC_002.tbl,51 Peg,111,1.0991273809488171
559,UID_0113357_RVC_003.tbl,51 Peg,153,1.6814694261266243
560,UID_0113357_RVC_004.tbl,HD 217014,41,2.096721497492807
561,UID_0113357_RVC_005.tbl,HD 217014,202,3.816620987716612
562,UID_0114322_RVC_001.tbl,HD 218566,56,2.7532478642585057
563,UID_0114622_RVC_001.tbl,HD 219134,113,4.649249487147969
564,UID_0114622_RVC_002.tbl,HD 219134,1,0.03815440069881538
565,UID_0114622_RVC_003.tbl,HD 219134,35,3.1676013154744163
566,UID_0114622_RVC_004.tbl,HD 219134,11,0.6318613098598045
567,UID_0114840_RVC_001.tbl,HD 240237,40,4.9288426238835665
568,UID_0115100_RVC_001.tbl,HD 219828,22,2.410053773099363
569,UID_0115218_RVC_001.tbl,HD 220074,32,9.117724008831567
570,UID_0115697_RVC_001.tbl,HD 220773,43,1.6046137324533467
571,UID_0116076_RVC_001.tbl,14 And,34,3.522813443996333
572,UID_0116084_RVC_001.tbl,HD 221287,26,4.3170982567210014
573,UID_0116727_RVC_001.tbl,Gamma Ceph,26,1.5136232200695787
574,UID_0116727_RVC_002.tbl,Gamma Cephei,33,2.6642793474559148
575,UID_0116727_RVC_003.tbl,Gamma Cephei,29,1.8069457004512706
576,UID_0116727_RVC_004.tbl,Gamma Cephei,5,0.6599184772714439
577,UID_0116727_RVC_005.tbl,Gamma Cephei,3,105.71679402840722
578,UID_0116727_RVC_006.tbl,Gamma Cephei,7,1.53122758969565
579,UID_0116727_RVC_007.tbl,Gamma Cephei,11,26.11282277556243
580,UID_0116727_RVC_008.tbl,Gamma Cephei,43,0.8879636445684066
581,UID_0116727_RVC_009.tbl,Gamma Cephei,49,2.1595482414439497
582,UID_0116727_RVC_010.tbl,Gamma Cephei,39,1.002232982106266
583,UID_0116727_RVC_011.tbl,Gamma Cephei,3,194.7547468164089
584,UID_0116727_RVC_012.tbl,Gamma Cephei,69,22.150321093075735
585,UID_0116906_RVC_001.tbl,HD 222582,37,11.786390122127466
586,UID_0116906_RVC_002.tbl,HD 222582,24,4.176518422208682
587,UID_0118319_RVC_001.tbl,HD 224693,24,1.3346665538154927
588,UID_0152734_RVC_001.tbl,HD 41004B,86,823.5190010947857
589,UID_0152734_RVC_002.tbl,HD 41004B,103,0.9186273606396549
590,UID_0152734_RVC_003.tbl,HD 41004B,149,0.9696823752549435
591,UID_0250257_RVC_001.tbl,GJ 317,18,2.34961985033736
592,UID_0250599_RVC_001.tbl,GJ 1214,27,1.094043074312793
593,UID_0250911_RVC_001.tbl,GJ 3470,61,1.4692446130438692
594,UID_0250999_RVC_001.tbl,GJ 3634,54,1.1901040467242103
595,UID_0300004_RVC_002.tbl,OGLE-TR-132,5,0.30373082694977194
596,UID_0300005_RVC_001.tbl,OGLE-TR-56,3,705.2978169376877
597,UID_0300005_RVC_002.tbl,OGLE-TR-56,5,0.8967219699428882
598,UID_0300005_RVC_003.tbl,OGLE-TR-56,11,1.2215141109271725
599,UID_0300006_RVC_001.tbl,TrES-1,8,0.7516063199851234
600,UID_0300006_RVC_002.tbl,TrES-3,20,1.1629810226183985
601,UID_0300007_RVC_001.tbl,XO-1,6,0.32923420002080117
602,UID_0300007_RVC_002.tbl,XO-1,4,0.0858799623134919
603,UID_0300008_RVC_001.tbl,BD -10 3166,17,1.4947183325985038
604,UID_0300008_RVC_002.tbl,BD -10 3166,31,1.385982092205355
605,UID_0300013_RVC_001.tbl,TrES-2,11,0.8316560458649745
606,UID_0300013_RVC_002.tbl,TrES-2,56,1.0746958577677646
607,UID_0300013_RVC_003.tbl,2MASS J19071403+4918590,21,
608,UID_0300013_RVC_004.tbl,2MASS J19071403+4918590,21,
609,UID_0300014_RVC_001.tbl,HAT-P-1,9,6.630940155642487
610,UID_0300014_RVC_002.tbl,HAT-P-1,4,7.4887016357064535e-06
611,UID_0300014_RVC_003.tbl,HAT-P-1,88,4.677903327121007
612,UID_0300014_RVC_004.tbl,HAT-P-1,33,1.2611130343324424
613,UID_0300014_RVC_005.tbl,HAT-P-1,4,0.6236513257254437
614,UID_0300014_RVC_006.tbl,2MASS J22574684+3840302,31,
615,UID_0300014_RVC_007.tbl,2MASS J22574684+3840302,31,
616,UID_0300017_RVC_001.tbl,WASP-1,7,1.1123640209024808
617,UID_0300017_RVC_002.tbl,2MASS J00204007+3159239,28,
618,UID_0300017_RVC_003.tbl,2MASS J00204007+3159239,28,
619,UID_0300018_RVC_001.tbl,WASP-2,9,2.8966537040922957
620,UID_0300036_RVC_001.tbl,CoRoT-1,9,0.6870780647106857
621,UID_0300037_RVC_001.tbl,2MASS J02462210+4939110,11,
622,UID_0300037_RVC_002.tbl,2MASS J02462210+4939110,11,
623,UID_0300040_RVC_001.tbl,HAT-P-3,9,1.8395971181483903
624,UID_0300040_RVC_002.tbl,2MASS J13442258+4801432,23,
625,UID_0300040_RVC_003.tbl,2MASS J13442258+4801432,23,
