P_true,snr,K_true,e_true,omega_true,P_rec,K_rec,e_rec,dP_rel,dK_rel,de,chi2,alias
1.0,5.0,22.63194229557662,0.18310841442062856,208.40350309306925,31.383277554842884,47.39205678936607,0.8679717465607805,30.383277554842884,1.0940340060264637,0.6848633321401519,0.13459870932973042,1
1.0,5.0,22.931654934518598,0.266430839816282,8.233360986997194,7.566988213828425,19.518368684134874,0.850601572962355,6.566988213828425,0.1488460497129567,0.5841707331460729,32.59453853657986,1
1.0,5.0,23.19520918093627,0.2393933807010601,20.405267936801767,972.7046903893726,34.985394569373334,0.8456486339086949,971.7046903893726,0.5083026109601636,0.6062552532076348,6.996155877676002,1
1.0,5.0,30.969753862042097,0.320252646257055,347.1117653988791,808.7843038368194,57.78231990441291,0.99,807.7843038368194,0.865766197620107,0.669747353742945,7.1540706516859505,1
1.0,5.0,18.348782465205826,0.2262820148762114,209.45327914310084,6.221956934350976,38.22079684766627,0.08041070870620474,5.221956934350976,1.083015421875706,0.14587130617000665,0.43331406623641405,1
1.0,5.0,22.128674600538293,0.11832376648018843,55.24668042324377,0.7318939788625012,3.8469056393818857,0.06758730845093572,0.2681060211374988,0.8261574310786646,0.05073645802925271,23.456436521496304,1
1.0,5.0,20.726656887981182,0.30305163362495857,10.034483858078392,2.5797413475580417,8.931985204015998,0.9321165029588317,1.5797413475580417,0.56905808532994,0.6290648693338732,1.2067423229386947,1
1.0,5.0,26.697627232617556,0.3455620098491949,132.2669517450479,0.5000219362666684,21.06404786319687,0.0,0.49997806373333165,0.21101423434880828,0.3455620098491949,1.304283974146314,1
1.0,5.0,22.044446267634783,0.2975280745100785,324.77100615014666,1.0683434073075342,35.492903379507624,0.7304498801001528,0.06834340730753419,0.6100610080470743,0.43292180559007426,7.155364843478768,0
1.0,5.0,23.622016230874962,0.10313747462685204,206.87018836293254,0.5,15.891686928845754,0.0,0.5,0.32725103676481876,0.10313747462685204,5.417381615705678,1
1.0,5.0,23.57459826735916,0.10213674193266481,149.64553012682498,1569.9332481122594,17.45382023275776,0.99,1568.9332481122594,0.2596344576134766,0.8878632580673351,2.8070909278845297,1
1.0,5.0,20.896697342941163,0.41334677817282733,91.63027031193587,16.744192541372446,42.80044911019685,0.9012390313417509,15.744192541372446,1.0481920376118528,0.48789225316892354,31.88833031783209,1
1.0,5.0,22.97607437449213,0.21769554749574838,259.8860205918932,9.128399683223641,11.115130350987496,0.18387111977815365,8.128399683223641,0.516230224109675,0.033824427717594724,12.106129590589912,1
1.0,5.0,26.32805282933972,0.20554785855712396,129.65886771093005,1.1121901686278197,29.557607086056873,0.767623757966657,0.11219016862781972,0.12266589852471625,0.5620758994095331,10.915203427745185,0
1.0,5.0,18.371138462678203,0.19393370728444032,329.1457140996983,2.1900425247056794,69.17207742196014,0.99,1.1900425247056794,2.7652580738252195,0.7960662927155597,16.12842614292769,1
1.0,5.0,21.859454481251976,0.04184595126085386,140.84472327113855,8.37825343664043,19.59471241862037,0.8057784481273738,7.3782534366404295,0.10360469263192218,0.7639324968665199,21.888532524549642,1
1.0,5.0,24.039811718936082,0.43260342057758794,185.00331067612584,351.0979121498632,23.46931094718453,0.0,350.0979121498632,0.02373149916570156,0.43260342057758794,0.3358812717447257,1
1.0,5.0,22.812638022326087,0.11724023289282212,39.297826506031186,0.9905131964746031,12.072436156103205,0.1599454234967681,0.00948680352539688,0.4708005209968154,0.04270519060394598,5.735082257827763,0
1.0,5.0,27.475120861471773,0.036962795779454334,340.3704619810411,27.38653528712154,55.09753514356816,0.9769196933459173,26.38653528712154,1.005360974438193,0.939956897566463,6.4679879332993195,1
1.0,5.0,25.149930096701006,0.2573243633418212,134.12693379580753,0.9717062125296867,23.240339073394477,0.19034327728702327,0.028293787470313303,0.07592828353654216,0.06698108605479791,11.049857866464334,0
1.0,5.0,45.71238044377011,0.384403191555137,132.8805695967354,56.84458308189886,59.73058590847486,0.9527804685053589,55.84458308189886,0.3066610254950137,0.5683772769502219,0.14997016624984041,1
1.0,5.0,23.499814263751677,0.394887677156513,14.849361342080892,0.5039153896440269,21.660678144214945,0.4222153105376663,0.49608461035597307,0.07826173002454699,0.027327633381153293,8.845272331787246,1
1.0,5.0,16.377388654822543,0.1736824703195949,233.81694051559552,3814.0597104966846,26.883562616947152,0.9360464264039869,3813.0597104966846,0.6415048322756219,0.762363956084392,10.480288227445973,1
1.0,5.0,23.968637753241584,0.14918973089478507,73.11994947185953,20.10294567088061,13.414893865560565,0.99,19.10294567088061,0.440314714433602,0.840810269105215,9.363941239623392,1
1.0,5.0,33.36473831340444,0.49781155848903086,61.489200163638934,381.43705049426444,16.314151803399035,0.38604912512683104,380.43705049426444,0.5110361229224822,0.11176243336219982,0.0867265206803752,1
1.0,5.0,23.468296396853123,0.061233944334054206,70.65506879652052,0.9435090567882194,11.295923419999017,0.0,0.05649094321178061,0.5186730545335326,0.061233944334054206,3.290545837624705,0
1.0,5.0,22.38110590361763,0.24682033029652545,247.56590944637412,1.7316784895904418,12.054272459564295,0.9603340036291423,0.7316784895904418,0.4614085420320597,0.7135136733326168,1.8569647926157238,1
1.0,5.0,19.78597075540585,0.1010525368748398,167.65669163888177,7.04931934071757,9.366700964893626,0.1872304993591585,6.04931934071757,0.5265988674154645,0.08617796248431871,3.045454818734376,1
1.0,5.0,17.20851460817121,0.061767229518446744,26.665355679707236,0.9305996034725906,7.665815137043271,0.6357916646209082,0.06940039652740937,0.554533595049321,0.5740244351024615,2.014971714985809,0
1.0,5.0,25.931049522454998,0.46925462252487204,291.3307501106629,1.123402837033231,11.86367241683221,0.5915253455806654,0.12340283703323096,0.5424916216152816,0.12227072305579334,5.6006238751153115,0
1.0,5.0,19.943152051883686,0.22084641515407596,294.9223369199365,175.60760726946654,19.17347548480891,0.8667464685191696,174.60760726946654,0.03859352649332466,0.6459000533650936,0.7398935250723264,1
1.0,5.0,20.511731028610015,0.1251300340646205,29.750889598977977,187.7317838287266,16.19292334318795,0.10198609689239461,186.7317838287266,0.21055305763312415,0.02314393717222589,1.184150030342117,1
1.0,5.0,28.709288988029236,0.17813486457244185,185.10570755036937,0.8614183124897831,15.626150559926797,0.5439250435453813,0.13858168751021693,0.45571098725425235,0.3657901789729394,16.967530462595107,0
